,names,city,address,phone,web,description,category
0,Futeca Gym - Zona 14,Guatemala - Guatemala,"10ma. Avenida 10-50 zona 14. Plaza Futeca, Local 21",Teléfono: +502 22136900,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
1,Futeca Gym - Pradera Concepción,Guatemala - Guatemala,"Km. 15.5 Carretera a El Salvador, Finca Concepción interior C.C. Pradera Concepción, Santa Catarina Pinula",Teléfono: +502 66339866,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
2,Futeca Gym - Miraflores,Guatemala - Guatemala,"22 avenida, 7ma. calle zona 11, Paseo Miraflores",Teléfono: +502 22253200,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
3,Futeca Gym - San Cristóbal,Guatemala - Guatemala,Blvd. Principal 19-65 sector B1 San Cristóbal zona 8 de Mixco,Teléfono +502 24796470,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
4,Futeca Gym - Naranjo,Guatemala - Guatemala,"23 calle 10-00 Zona 4 Condado Naranjo , local 240 Naranjo Mall",Whatsapp: +502 410001310,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
5,Futeca Gym - Portales,Guatemala - Guatemala,"CA-9 Norte Rural al Atlántico, 3-20, zona 17. Centro Comercial Portales, Local 255. Parqueo 2do Nivel",Teléfono +502 22147100,https://futecagym.com/,"Futeca Gym, es un gimnasio que nace en el 2010. Enfocado en mejorar la calidad de vida de sus socios, a través del ejercicio, una buena alimentación y la creación de comunidades estrechas entre socios.",Gimnasios de Educación Física
6,Fitness One - Cayalá,Guatemala - Guatemala,Diagonal 35 Boulevard Austriaco 16-25 Zona 16 Cardales de Cayalá.,+502 2491-4333,https://fitnessone.com.gt/,"Todo lo que necesitas para transformar tu vida y tu cuerpo, las mejores ubicaciones, personal capacitado para hacer del ejercicio parte de tu vida.",Gimnasios de Educación Física
7,Fitness One - Pradera,Guatemala - Guatemala,Boulevar Los Próceres 25-74 Zona 10,+502 2423-6000,https://fitnessone.com.gt/,"Todo lo que necesitas para transformar tu vida y tu cuerpo, las mejores ubicaciones, personal capacitado para hacer del ejercicio parte de tu vida.",Gimnasios de Educación Física
8,Fitness One - RUS,Guatemala - Guatemala,Calzada Roosevelt 12-76 zona 7 C.C. RUS,+502 2226-2226,https://fitnessone.com.gt/,"Todo lo que necesitas para transformar tu vida y tu cuerpo, las mejores ubicaciones, personal capacitado para hacer del ejercicio parte de tu vida.",Gimnasios de Educación Física
9,Fitness One - Sankris Mall,Guatemala - Guatemala,3ra. Calle Sector A-3 Boulevard San Cristóbal 6-72 Zona 8 de Mixco,+502 2424-4848,https://fitnessone.com.gt/,"Todo lo que necesitas para transformar tu vida y tu cuerpo, las mejores ubicaciones, personal capacitado para hacer del ejercicio parte de tu vida.",Gimnasios de Educación Física
